Frequency (GHz)	DB(|S(2,1)|) : PI_network_lpf	DB(|S(2,1)|) : EM_Extract_Doc
3.76	-16.8362	-22.1929
3.77	-16.9409	-22.2749
3.78	-17.0449	-22.3564
3.79	-17.1481	-22.4373
3.8	-17.2504	-22.5177
3.81	-17.352	-22.5975
3.82	-17.4528	-22.6768
3.83	-17.5528	-22.7556
3.84	-17.652	-22.8338
3.85	-17.7505	-22.9115
3.86	-17.8482	-22.9886
3.87	-17.9451	-23.0651
3.88	-18.0413	-23.141
3.89	-18.1367	-23.2163
3.9	-18.2313	-23.291
3.91	-18.3252	-23.365
3.92	-18.4183	-23.4384
3.93	-18.5107	-23.5112
3.94	-18.6024	-23.5833
3.95	-18.6933	-23.6547
3.96	-18.7835	-23.7255
3.97	-18.8729	-23.7955
3.98	-18.9617	-23.8648
3.99	-19.0497	-23.9333
4	-19.1369	-24.0012
4.01	-19.2235	-24.0682
4.02	-19.3093	-24.1346
4.03	-19.3945	-24.2001
4.04	-19.4789	-24.2649
4.05	-19.5626	-24.3289
4.06	-19.6456	-24.3921
4.07	-19.7279	-24.4545
4.08	-19.8096	-24.5161
4.09	-19.8905	-24.5769
4.1	-19.9707	-24.637
4.11	-20.0503	-24.6962
4.12	-20.1292	-24.7547
4.13	-20.2074	-24.8124
4.14	-20.2849	-24.8693
4.15	-20.3617	-24.9255
4.16	-20.4379	-24.9809
4.17	-20.5134	-25.0356
4.18	-20.5883	-25.0896
4.19	-20.6624	-25.1429
4.2	-20.736	-25.1955
4.21	-20.8088	-25.2474
4.22	-20.8811	-25.2987
4.23	-20.9526	-25.3495
4.24	-21.0235	-25.3996
4.25	-21.0938	-25.4492
4.26	-21.1634	-25.4983
4.27	-21.2324	-25.5468
4.28	-21.3008	-25.5949
4.29	-21.3685	-25.6426
4.3	-21.4356	-25.6899
4.31	-21.5021	-25.7368
4.32	-21.5679	-25.7834
4.33	-21.6331	-25.8297
4.34	-21.6977	-25.8757
4.35	-21.7617	-25.9215
4.36	-21.825	-25.9672
4.37	-21.8878	-26.0126
4.38	-21.9499	-26.0579
4.39	-22.0114	-26.1028
4.4	-22.0724	-26.1475
4.41	-22.1327	-26.192
4.42	-22.1924	-26.2362
4.43	-22.2515	-26.2802
4.44	-22.31	-26.3241
4.45	-22.368	-26.3679
4.46	-22.4253	-26.4115
4.47	-22.4821	-26.455
4.48	-22.5382	-26.4985
4.49	-22.5938	-26.5419
4.5	-22.6488	-26.5853
4.51	-22.7032	-26.6287
4.52	-22.757	-26.6721
4.53	-22.8103	-26.7155
4.54	-22.863	-26.7589
4.55	-22.9151	-26.8025
4.56	-22.9666	-26.8461
4.57	-23.0176	-26.8898
4.58	-23.068	-26.9336
4.59	-23.1179	-26.9775
4.6	-23.1672	-27.0216
4.61	-23.2159	-27.0658
4.62	-23.2641	-27.1101
4.63	-23.3117	-27.1546
4.64	-23.3588	-27.1992
4.65	-23.4053	-27.244
4.66	-23.4512	-27.2889
4.67	-23.4966	-27.334
4.68	-23.5415	-27.3792
4.69	-23.5858	-27.4246
4.7	-23.6296	-27.4701
4.71	-23.6729	-27.5157
4.72	-23.7156	-27.5614
4.73	-23.7577	-27.6073
4.74	-23.7994	-27.6532
4.75	-23.8405	-27.6992
4.76	-23.881	-27.7452
4.77	-23.9211	-27.7913
4.78	-23.9606	-27.8374
4.79	-23.9996	-27.8835
4.8	-24.0381	-27.9295
4.81	-24.076	-27.9755
4.82	-24.1134	-28.0214
4.83	-24.1503	-28.0671
4.84	-24.1867	-28.1127
4.85	-24.2226	-28.1581
4.86	-24.258	-28.2033
4.87	-24.2928	-28.2482
4.88	-24.3272	-28.2928
4.89	-24.361	-28.3371
4.9	-24.3943	-28.3811
4.91	-24.4271	-28.4246
4.92	-24.4594	-28.4676
4.93	-24.4912	-28.5102
4.94	-24.5226	-28.5522
4.95	-24.5534	-28.5937
4.96	-24.5837	-28.6346
4.97	-24.6135	-28.6748
4.98	-24.6428	-28.7143
4.99	-24.6716	-28.7531
5	-24.7	-28.7911
