Frequency (GHz)	DB(|S(2,1)|) : t_network_lpf	DB(|S(2,1)|) : EM_Extract_Doc
2.96	-7.17439	-12.3412
2.97	-7.33495	-12.4929
2.98	-7.49534	-12.6436
2.99	-7.65548	-12.7934
3	-7.81532	-12.9422
3.01	-7.9748	-13.0901
3.02	-8.13388	-13.237
3.03	-8.29251	-13.3831
3.04	-8.45064	-13.5282
3.05	-8.60824	-13.6724
3.06	-8.76526	-13.8157
3.07	-8.92168	-13.9581
3.08	-9.07745	-14.0997
3.09	-9.23255	-14.2404
3.1	-9.38695	-14.3802
3.11	-9.54063	-14.5192
3.12	-9.69355	-14.6573
3.13	-9.8457	-14.7946
3.14	-9.99707	-14.9312
3.15	-10.1476	-15.067
3.16	-10.2973	-15.2021
3.17	-10.4462	-15.3365
3.18	-10.5943	-15.4701
3.19	-10.7414	-15.603
3.2	-10.8877	-15.7352
3.21	-11.0331	-15.8666
3.22	-11.1776	-15.9974
3.23	-11.3212	-16.1275
3.24	-11.4639	-16.2568
3.25	-11.6057	-16.3855
3.26	-11.7465	-16.5135
3.27	-11.8865	-16.6407
3.28	-12.0255	-16.7673
3.29	-12.1635	-16.8932
3.3	-12.3007	-17.0184
3.31	-12.4369	-17.1428
3.32	-12.5721	-17.2666
3.33	-12.7065	-17.3897
3.34	-12.8399	-17.512
3.35	-12.9723	-17.6336
3.36	-13.1038	-17.7545
3.37	-13.2344	-17.8747
3.38	-13.3641	-17.9941
3.39	-13.4928	-18.1128
3.4	-13.6206	-18.2307
3.41	-13.7475	-18.3479
3.42	-13.8735	-18.4643
3.43	-13.9985	-18.5799
3.44	-14.1227	-18.6948
3.45	-14.2459	-18.8088
3.46	-14.3682	-18.9221
3.47	-14.4897	-19.0345
3.48	-14.6102	-19.1462
3.49	-14.7298	-19.257
3.5	-14.8485	-19.367
3.51	-14.9664	-19.4761
3.52	-15.0834	-19.5845
3.53	-15.1995	-19.6919
3.54	-15.3147	-19.7986
3.55	-15.429	-19.9043
3.56	-15.5425	-20.0093
3.57	-15.6552	-20.1133
3.58	-15.767	-20.2165
3.59	-15.8779	-20.3189
3.6	-15.988	-20.4203
3.61	-16.0973	-20.521
3.62	-16.2057	-20.6207
3.63	-16.3133	-20.7196
3.64	-16.4201	-20.8177
